[2025-09-26 10:37:46] === INICIO DO TESTE ===
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 0
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 1
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 2
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 3
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 4
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 5
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 6
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 7
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 8
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 9
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 10
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 11
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 12
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 13
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 14
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 15
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 16
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 17
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 18
[2025-09-26 10:37:46] Thread 1 escrevendo a mensagem 19
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 0
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 1
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 2
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 3
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 4
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 5
[2025-09-26 10:37:46] Thread 3 escrevendo a mensagem 0
[2025-09-26 10:37:46] Thread 3 escrevendo a mensagem 1
[2025-09-26 10:37:46] Thread 3 escrevendo a mensagem 2
[2025-09-26 10:37:46] Thread 5 escrevendo a mensagem 0
[2025-09-26 10:37:46] Thread 5 escrevendo a mensagem 1
[2025-09-26 10:37:46] Thread 5 escrevendo a mensagem 2
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 6
[2025-09-26 10:37:46] Thread 4 escrevendo a mensagem 7
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 0
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 1
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 2
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 3
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 4
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 5
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 6
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 7
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 8
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 9
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 10
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 11
[2025-09-26 10:37:46] Thread 2 escrevendo a mensagem 12
